Designator,Mid X,Mid Y,Rotation,Layer
3vpins1,39.8,-18.5,270.0,top
C1,27.5,-54.4,0.0,top
C10,76.92,-40.725,270.0,top
C11,77.775,-35.5,0.0,top
C12,77.9,-37.5,0.0,top
C13,75.275,-40.85,270.0,top
C14,75.025,-51.7375,270.0,top
C15,75.025,-58.0875,90.0,top
C16,87.575,-43.925,0.0,top
C17,87.4625,-47.5,0.0,top
C18,33.5,-57.29,90.0,top
C19,33.5,-66.18,270.0,top
C2,60.025,-42.8875,0.0,top
C20,60.7,-32.9,180.0,top
C21,67.4,-22.4,0.0,top
C22,66.415,-32.9,0.0,top
C23,61.1,-25.1,180.0,top
C24,65.15,-29.42,180.0,top
C3,58.3,-49.1,0.0,top
C4,64.925,-41.0,270.0,top
C5,67.125,-56.9,90.0,top
C6,70.95,-40.975,270.0,top
C7,60.425,-40.0875,90.0,top
C8,62.45,-58.8,270.0,top
C9,77.44,-43.9825,270.0,top
D1,21.25,-56.0,0.0,top
GNDpins1,39.8,-23.1,270.0,top
J1,87.36,-36.1,90.0,top
J2,88.0,-24.6,0.0,top
J3,44.79,-60.575,180.0,top
J4,78.78,-64.325,90.0,top
MUTE1,93.1,-46.185,0.0,top
NEOPIXEL_OUT1,27.6,-60.9,0.0,top
R10,41.1,-52.7,0.0,top
R11,54.8875,-55.525,180.0,top
R12,63.3125,-19.7,0.0,top
R13,63.2875,-22.265,0.0,top
R14,81.7125,-61.4,0.0,top
R15,81.7125,-59.7,180.0,top
R2,84.582,-51.054,90.0,top
R3,82.804,-51.4375,90.0,top
R4,81.155,-51.4375,90.0,top
R5,79.525,-51.4375,90.0,top
R6,87.6625,-42.2,0.0,top
R7,87.6,-45.9,0.0,top
R8,54.8875,-61.875,180.0,top
R9,50.8875,-52.925,180.0,top
STEMMA_QT_I2C1,90.2,-63.225,0.0,top
U1,33.8366,-42.6,0.0,top
U2,63.025,-47.7375,90.0,top
U3,60.725,-54.05,90.0,top
U4,82.045,-44.1575,180.0,top
U5,66.265,-26.225,0.0,top
VIBMTR1,75.79,-19.49,180.0,top
extra_gpio1,39.8,-27.7,270.0,top
